cid,present_locally,pinned,note
QmYWXBvER5WNHFUrqkYkn9LbNwPdcq8uuSKXHZnAYmAfNy,yes,yes,
QmYaUMzomYyxAtHxzst8R9irpMDsQdEi6zpLiSfGeVaNQm,yes,yes,already pinned
QmYePtKjhbm6y3cxgrVFdVi9UTV3hqDqRCzXynRE7dBRTL,yes,yes,
QmYph3AnoCju6g2P4uPhjzvdQzStLFxmYaNQTcSpiuDSWE,yes,yes,
QmYv7rjfHPS5Nir6x8rzMSEoqJYyeW2P53qhTaAP6LcQAt,yes,yes,
QmZBpUSEWPvjiqaSEv3a72C2wxDKNcDHadKSmQSKrBLKs3,yes,yes,
QmZLqnLN9oWbMSDGNjCX11E7yuMMTNTkZavrW1nPH59HNS,yes,yes,
QmZMG411dhJFnX4gnASvqggDEaN7FGJuXrSJuifahJe41E,yes,yes,
QmZZ6r2EspBbA7KwJbZq3q2ULS2No7Z2CtKtH2MarHS6Jv,yes,yes,
QmZesP4NNbWDWw8p1PaApzZmkC5FQDyKKrQWfKH8htDvnT,yes,yes,
QmZfUeqT6qutJnRCd4AKt7zu22NCMMJ87EXeXbQ7a9hQ2D,yes,yes,
QmZmWpPnvpV2rYW9Qt6awth9JQa22Va2iWzbEhuE93oEW7,yes,yes,already pinned
QmZtBxWfBD7ZfeaapPD7vwcx2vMbRpqw9iHau9aQq2afas,yes,yes,already pinned
Qma5xyMLsQFnhwTDK9oT7Wma2vMX9xcAeWaXDa8f86iwke,yes,yes,already pinned
QmaDDigZwh4UK5AU2RA8oeJ9C9G4tsMkbzqhJiSzkpTmyW,yes,yes,
QmaEuk9fmstKc62SNkLVQ49NL3LEKERJtfEQs9rJpWMxKf,yes,yes,already pinned
QmaKBEcVPY18Ahkww9zbmz7grDPUp6aHdCCFkTQwd3wyA3,yes,yes,
QmaNhm9tdcqfvXZYMhyWokEQM9c9vGL1DQyai8qqhrB747,yes,yes,
QmaR5RFAk3MXt1M4K5kMiR7vyXurZGGCK534hvvz17hJ2p,yes,yes,
