cid,present_locally,pinned,note
QmNNH9HRpCGzncueHRshoPUXVW43UR8EyjEica9u7JFqQ7,yes,yes,
QmNNJGkjpBfyQUwnYLWn4aQpmcJXdKLVfBNNRmW711nuVQ,yes,yes,
QmNNJHFf3N5dN54cY7ijCmKNtbqrHot9mRshjk7VqoxZYY,yes,yes,
QmNNJo9TDSKuL54zXvnkDSFyadm967ZSf4KvX8D1QtFAT4,yes,yes,
QmNNLQDEgYn9AZFZv4SnrWun4r4WkBFGFJgjrbYBMftRkA,yes,yes,
QmNNLoQxjBDDjbLspjCWGihqcWDXzyPg128GeeCSf6eH9N,yes,yes,
QmNNPt92t7nC2BkPVfNF56SyrqZH4yn4tZNDVX4kJjTepJ,yes,yes,
QmNNQqfX4KmYfk22hBVgr4LSYiAbv9EwXbgz8VHc2DnMTJ,yes,yes,
QmNNRBX4XpJDNNTFZebSEeEg2xqBixEPGUPz8X1XP7NMn8,yes,yes,
QmNNRguwu4dbc8fR6c5T6x9D7DXcQR2j5L22pEngqtjyFY,yes,yes,
QmNNRomLubtDRYa9BfTKYT7KwmYEY13Yr7tEjDArRiwKyz,yes,yes,
QmNNVH5gAnJyeV93bjVAqXxsp8QqNdxyDpXaJoG7UMjE62,yes,yes,
QmNNVfXcnQdcSfuVSxFuftY2KqsL7FU59Pfo3K13Tiodra,yes,yes,
QmNNVsYNdxwDyXSLkGYuUsBhZnMvKnc2M1HqW6Trwt2FTV,yes,yes,
QmNNWxusRZnRQLiGW98qsqsKGp6tzcyZoRWfuYkn57Sh1s,yes,yes,
QmNNYX8qpGB2q9AAkkH15Ff6Hx7DvJtDDFLCoPnQJzhEjw,yes,yes,
QmNNZMKsBsYjzPsKo6ScNbxDGRhva7DNYQveA6H6kcfewj,yes,yes,
QmNNaKrDoYaJBojWr4XjM7oh6Hh2bnLUvBeKR7majaW1vW,yes,yes,
QmNNasPCEgNisVf33gP43hkiyfH2mFxAxzyjZsgYoEUeP7,yes,yes,
QmNNb6W41veQzkxZeMBTLSaBTkhwjxkHxJ6gRZskY1Jk3j,yes,yes,
QmNNbE9M7nx7hPtqBp1LfMuogHDDDrzV4VPKTNbAWCUuSZ,yes,yes,
QmNNbR27NQEwsHdkG6MPTY4gXUAxA8m86B4HRkxRSJA7Ep,yes,yes,
QmNNbz2Ce4J6eRmRVPkwPUTJsB8UgemAtp6FQX2jLBt5m7,yes,yes,
QmNNdMVQUbV6Sg4L991fqTMMZGqn3QhXMH94izMtdUveMM,yes,yes,
QmNNfi41pTRnwVPvb5qdXLLUX4vuj9poB59ykTiRmnfKk6,yes,yes,
QmNNhVCTNxFuJieDM1BenjHAkj6QC9pifjARvdUZvnzcjq,yes,yes,
QmNNhcVsjrjtdXcxuaiUFEsqJezqatz41VBBcL8QAS7Zs2,yes,yes,
QmNNi1pqNyNYbXc449Tp9jg8aVkrLX3xpYAt5465PKMB5F,yes,yes,
QmNNiDsxsUKyh6CpeKuNkdLZU2Xb6Z7ng95GqctqeFrxet,yes,yes,
QmNNiRTxfSrDnnwSRYFUyMhac3xN8MKjJtzM9Ft2bNdS4c,yes,yes,
QmNNiczkZc1cdc3reBSQJc3g8uAgNNDVtb6Ce7Lc5sVgZn,yes,yes,
QmNNikTGq3Uuvibhi7BnorT9NHmHTSNacFADiAioDmnu7Q,yes,yes,
QmNNiuqewL2DVXYebwzLhjGhRA9tiWjptyRm4FJu3Lm1W1,yes,yes,
QmNNixzXW2EaurvyXkqFJw6qz2SZa9pn91uJ95mEY8QmdG,yes,yes,
QmNNjAXS3XVP5LYt9Avr5NFCi6orGNqRpjaQvXqeogHbvW,yes,yes,
QmNNkuiQmwZDD5eSkEsoQdZZ6bASrJ8LkngwcSeab5ZCwL,yes,yes,
QmNNmF2bwErvGGLofU4BBcfZKJeRBzpEM6EdFvKEYpbtTD,yes,yes,
QmNNn8FZiUZ5Kzc1rVNpzSRYfe8sUiwhaQCiEzitA4W9WS,yes,yes,
QmNNnDNCEMyLH3BWdajzk9yFCcQbxh5NxPZaRTC7WKpJ1E,yes,yes,
QmNNnVetNBsHEKCyef22NhCSJs2986g5d3ssxsNXbE9dyA,yes,yes,
QmNNnXvKFA9KHKHpKJFgWy7MrviqtXMpwzztEEj7PkGeqK,yes,yes,
QmNNnYFocSweDbiTYxYs2bBv13QB296ghQWBNNVmmZR9YR,yes,yes,
QmNNoTA6cAEVvigRGcXHgZiHoue4GeHFwBKKz9aEaMUKuy,yes,yes,
