category,opensea_slug,opensea_url,bound_collection_uuid,uuid_your_api_returns_now,eth_contracts,os1_legacy_id,your_series_title,your_exhibition
1_live_series_in_your_mapping,daemon-cene-by-theodoros-giannakis,https://opensea.io/collection/daemon-cene-by-theodoros-giannakis,9841c727-f5c8-40e4-b995-0716eeff843f,,,24557556,Daemon (cene),For Your Eyes Only
1_live_series_in_your_mapping,daemon-chaos-by-petros-moris,https://opensea.io/collection/daemon-chaos-by-petros-moris,8711ddf0-0474-4a8d-a5ec-30c7f42977df,,,24557563,Daemon (chaos),For Your Eyes Only
1_live_series_in_your_mapping,dagger-by-auriea-harvey,https://opensea.io/collection/dagger-by-auriea-harvey,bd0c4207-f8e7-49db-919e-e2913f39d59c,,,24557643,Dagger,Gray Matter
1_live_series_in_your_mapping,data-pilgrims-01-by-emi-kusano,https://opensea.io/collection/data-pilgrims-01-by-emi-kusano,8379d2a7-575f-4cde-aade-18b2aa044f7e,,,,Data Pilgrims 01,Console Spirituality
1_live_series_in_your_mapping,dataland-rainforest-wef-2024-memento-by-refik-anadol,https://opensea.io/collection/dataland-rainforest-wef-2024-memento-by-refik-anadol,f0f2f42e-d24f-44a2-85a1-4d85aa84c9ee,,,,DATALAND: Rainforest – WEF 2024 Memento,DATALAND: Rainforest – WEF 2024 Memento
1_live_series_in_your_mapping,diatriber-by-lorna-mills,https://opensea.io/collection/diatriber-by-lorna-mills,8a8bbaf1-42d3-426b-b16a-d44344988ade,,,,Bobalina Gala,Net Evil
1_live_series_in_your_mapping,dog-whistle-v2-mp4-l8nite-screener-by-shawne-micha,https://opensea.io/collection/dog-whistle-v2-mp4-l8nite-screener-by-shawne-micha,daf603b2-4c66-4faf-8e43-a5062ed1301e,,,27220970,DOG-WHISTLE_V2.MP4(L8NITE-SCREENER),The Experiment
1_live_series_in_your_mapping,downtime-by-ryan-kuo,https://opensea.io/collection/downtime-by-ryan-kuo,45700bea-403a-45ed-8f40-cd21f799142a,,,32064341,Downtime,One to Zero
1_live_series_in_your_mapping,drive-time-by-casey-kauffmann,https://opensea.io/collection/drive-time-by-casey-kauffmann,56c897f3-d2cc-45f0-91b7-50869bf7521c,,,29414445,Drive Time,In Medias Res
1_live_series_in_your_mapping,dungeoneer-by-john-provencher,https://opensea.io/collection/dungeoneer-by-john-provencher,a3613c63-074d-4aaa-847d-b23a77512a90,,,,Dungeoneer,Console Spirituality
1_live_series_in_your_mapping,e-dream-well-stay-forever-in-this-way-2020-selecte,https://opensea.io/collection/e-dream-well-stay-forever-in-this-way-2020-selecte,231fa61b-eb94-40d7-9a5c-0d5c7e94f1ed,,,24557483,"E-dream: We’ll stay, forever, in this way (2020 selected)",The Long Cut
1_live_series_in_your_mapping,e-volved-formulae,https://opensea.io/collection/e-volved-formulae,796f9fd9-d405-451c-a584-d9f21222c6dd,,,33922850,E-volved Formula #23,E-volved Formulae
1_live_series_in_your_mapping,each-and-every-command-by-martin-john-callanan,https://opensea.io/collection/each-and-every-command-by-martin-john-callanan,6b095c1c-b367-4f4c-b583-6f0ae975e463,,,24557437,Each and Every Command,Instructions Follow
1_live_series_in_your_mapping,earmark-by-matthew-d-gantt,https://opensea.io/collection/earmark-by-matthew-d-gantt,7764ae91-0392-48fb-b68c-796d701bed08,,,24557504,Earmark,The Bardo: Unpacking the Real
1_live_series_in_your_mapping,echoloji-by-tuna-bora,https://opensea.io/collection/echoloji-by-tuna-bora,4ae268d4-aef9-4cc9-82ff-f2fb2dfe0351,,,29445850,Echoloji,In Medias Res
1_live_series_in_your_mapping,embryogenesis-by-sage-jenson,https://opensea.io/collection/embryogenesis-by-sage-jenson,7ba57167-a13e-4033-b07e-c7094f74410c,,,24557538,Embryogenesis,Primordium
1_live_series_in_your_mapping,emergence-by-alba-g-corral,https://opensea.io/collection/emergence-by-alba-g-corral,a1b6689f-5236-471a-97a6-70ea0879dd42,,,24557442,Emergence,Instructions Follow
1_live_series_in_your_mapping,enchanting-luxuriance-by-saskia-freeke,https://opensea.io/collection/enchanting-luxuriance-by-saskia-freeke,5af4af6f-1e6b-4e45-95db-7b4de60fe0ca,,,24557515,enchanting luxuriance,Social Codes
1_live_series_in_your_mapping,endless-monologue-by-licia-he,https://opensea.io/collection/endless-monologue-by-licia-he,5e0a93aa-22d0-4305-8bdd-5806dab5503a,,,24557510,Endless Monologue,–GRAPH
1_live_series_in_your_mapping,entity-by-jared-s-tarbell,https://opensea.io/collection/entity-by-jared-s-tarbell,0698273e-13fc-43e9-910e-0f6d81827a01,,,24557581,Entity,Field Guide
