edition,class,token_id,old_metadata_cid,old_animation_url,old_image,dir
56,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689515,QmbT91JDmCycNkNLNPgRQNeuikaaqghz7agnodBrsYhkDC,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/056
57,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689516,QmUtcs7v9rUxvncnt7LSz2jTyjWmqCs4PBoHpVut7b1Fux,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/057
58,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689517,QmbYPsbsomU3YTX3orwxs4nFs4iFMwrQvGZg5967tW8fop,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/058
72,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689531,QmcC91DEeD13P6LN9Heq8e4Z6W25nJ3VPRjg7KRRikUrgL,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://cdn.feralfileassets.com/thumbnails/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1653452315,dirs/072
73,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689532,QmeWvSEpRH9BdQAzNqRs82RYxDE8Z6VDrgxLWjLmReB5FL,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/073
77,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689536,QmV2M4x3eMdZjEGNgafPho9ZGoC5bubTb9vx9NAqkpUwkL,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/077
78,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689537,QmVm4GXAbpkUJuctX2jgHYKFrqt2LQjk466yDQCtU1LqSc,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/078
79,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689538,QmX7M7tZVFgvAvaYZQ3Nv8cQUFd3ujusf6RxY9fCY6eUMr,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/1387fb4f-59a3-4fa6-7adc-fea2528d6400/thumbnailLarge,dirs/079
81,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689540,QmecZoQuSMH2QN74xWicnhyszLNNtaTJsUpWY2vkEkJQpq,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/081
82,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689541,QmSopT7FnWv3czoRaDhR5Ee3wj5EN7FeXK8gHAN4Ripee4,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/082
91,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689550,QmbrFXYs4YAkHW39hiVzP3YAHdjEhyoRL2FbWBHAV7BUWs,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/091
96,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689555,QmXLFyVCzixHzG3HFzTAAiW2bfuJksUmMEtfx6wtuvXX9L,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/096
