contract,token_id,group,status
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713098,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713099,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713100,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713103,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713107,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713110,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713111,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713114,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713115,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713120,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713121,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713124,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713125,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713126,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713129,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,13817206977692934950913675317980862042943036316936798729844259854918098451891,fixed:goal2,Item
