series_id,artworks_bytes,artworks_objects,previews_bytes,previews_objects
821dd86a-8764-441f-af58-95c857a7c4d3,140382285,5,8932701,1
83c776c3-262e-4f1d-95f9-97f6d2ccb7cd,2106572145,6,97506667,1
8711ddf0-0474-4a8d-a5ec-30c7f42977df,286632155,5,15556983,1
8718cfaf-3a37-4112-bc66-c3654d2fb302,14976413729,9,325352551,3
87eafff7-a8c6-4d3f-bc51-3e23bc745125,6777325,7,542240,15
89c348c1-6e78-4e00-ac3f-f58c9e732731,719511761,8,92902993,28
8d97e575-0837-4092-bca1-10d58195e414,35762839,5,4205581,1
8fc2a19f-4393-4fa4-aee0-91c365232cef,6604730,6,369343,10
90b82f85-dda3-417b-8af3-7e2d9a8756ba,3855954088,7,25877883,2
91a3ea94-f606-40a9-9e39-611bdcb46fdd,5458172,5,205069,1
92a0c691-c281-4a93-ae1f-48d5eacd0ee3,42869720,5,37940107,2
93544620-dff8-4ae5-8194-3f527e8cc91e,554013167,5,51464581,23
94c4b51e-3c29-4568-9545-0556b290e14b,367692041,14,167897,22
96f1663b-5216-4758-aa7f-3a70e6d9d45b,9024641085,5,456993965,1
9841c727-f5c8-40e4-b995-0716eeff843f,294986570,5,17619447,1
9849f146-aef6-4614-9f8e-6bbf82fba520,5152061,6,59580,1
9983bf66-380e-4af3-bee9-237c492f18a0,365326150,8,838699,17
99d373e5-cc9d-45e8-8aa5-1ed47e481791,382023263,18,101407762,576
9ce5936e-a888-4302-a998-146823306098,952966727,5,476117427,388
9d72a792-cd60-40b6-a8aa-59bc41a9cacb,303814443,6,99825974,1
9ddfcfcf-2e67-480d-9d3f-feb885acbafb,367693810,14,167987,22
a187efae-f936-4363-8f77-61b650548144,933650825,5,466976826,392
a1b6689f-5236-471a-97a6-70ea0879dd42,11238653,9,1893718,27
a2ba079e-319b-425a-b3df-6bb68c1b7343,367704462,15,208068,28
a3d23452-f377-4d0e-9a67-ecce7a182927,290152724,7,26076238,2
a566dd50-6194-4e88-8aec-59cebbc1ed55,15713408348,113,1966835472,458
a7d428ec-48e2-492b-a6f1-36d7cadf3da7,10688311,6,4131214,2
abf1fd61-b911-402b-9e2e-d7dcf96c4d82,1734161792,8,22765287,3
adc4221c-4f00-4193-ac82-c4d9b1a0b681,85895849,5,40748981,16
af4fe2af-67bb-4440-9885-621d5c3bf965,8142408,6,448774,1
b0cd5f03-3a5b-4be3-9c58-b05d2b388c5a,367691835,14,167987,22
b3dacae7-dcc3-40e1-9dd4-9e2047398c01,418486247,5,43378330,1
b4a46d9c-fa16-4a2c-a11d-03b49d5b1e63,6429918,5,195538,5
bb118c17-1444-4c39-9587-64aa126d6f58,7466334,5,702630,1
bfecf42e-41e0-46a7-a948-435c5439d574,367692551,14,167858,22
c328998f-27d4-496f-acea-7c971416110e,4338688098,7,2161010901,1
c32b4f0b-d3dc-43b8-bce2-011b82e57c97,367695894,14,167859,22
c35a9579-e93c-4c57-9b02-7a923d8fd66a,219951187,6,35516499,4
c3b2c10b-91c6-4e2f-83bc-fcb5068e98be,215130091,5,8634605,1
c40d0e81-c8dd-44a3-9fc8-2caa36101516,150742332,5,435188,1
c4c506d9-a409-471a-bbf9-012bcfb1fa73,352683294,5,174330333,1
c4c9bfde-13bc-4cf5-bc4d-817280673ec3,281810889,5,9637192,1
c66d0636-30c1-4227-819c-0e69924fc7a1,19814730,5,7617130,1
c6b9fe72-76f2-4c2e-93b5-5251a5b222f6,10066006944,6,132574174,1
c974b77f-3734-4952-9cea-1dcd591cc48d,1423577077,6,40948865,1
ca471793-baf8-43db-bf1a-b811f4608297,2464782240,8,506820028,15
cb0fc2d2-1e7b-4a39-b518-2be692a52ffc,367690815,14,167987,22
