exhibition_slug,series_id,series_title,artist,medium,bitmark_works_in_series,sample_artwork_id,media_url,probe_status,content_type
unsupervised-sla,e601569d-5611-4a82-93ba-a7f55b260001,Unsupervised — Data Universe — MoMA,,video,563,e894dec73e78be5744390447f766e03e5e41e8b82db845b687bce19ef3c784b3,https://cdn.feralfileassets.com/previews/e601569d-5611-4a82-93ba-a7f55b260001/1637053763/preview.mp4,200,video/mp4
wetware-tkl,2ee448fc-b02a-4f74-a8c0-0e4da84f7ab1,MAJLIS AL-JINN: Huma + The Archive,,video,60,046f767eff0d3a8b7c70730d2258f47288655490ea58a25a88e39ee5b2274fd0,https://cdn.feralfileassets.com/previews/2ee448fc-b02a-4f74-a8c0-0e4da84f7ab1/1653333598/preview.mp4,200,video/mp4
wetware-tkl,434b4eab-f8ed-4e75-b80f-5377e08ca430,Contested Zone,,image,63,0012000bb5788cf7ce5786255686cffab551f988628b41a3630226b51500e8b8,https://cdn.feralfileassets.com/previews/434b4eab-f8ed-4e75-b80f-5377e08ca430/1654582787/preview.jpg,200,image/jpeg
wetware-tkl,522055e6-e5d8-41b5-8cad-9823c9666e2a,Estroworld Now: The Quarantine Edition,,3d,68,0102ddf936fcce78a506646948f620adc7a6419eb1cd3b6d82b45727ffc27c8d,https://cdn.feralfileassets.com/previews/522055e6-e5d8-41b5-8cad-9823c9666e2a/1654421582/?edition_number=51&blockchain=bitmark,200,text/html; charset=utf-8
wetware-tkl,6d1a279d-0ddc-4067-84e4-0e0e96fd36fb,Housewives Making Drugs,,video,65,01619e27adeefad9e7812079df0423f9af11236b06c5d85d9e983b37b675ff80,https://cdn.feralfileassets.com/previews/6d1a279d-0ddc-4067-84e4-0e0e96fd36fb/1653572076/preview.mp4,200,video/mp4
wetware-tkl,9849f146-aef6-4614-9f8e-6bbf82fba520,Bindigrl,,animated gif,65,00527ca84081b54390c95175ec3cac4d8b2d60340008e830d206c82fbff1c346,https://cdn.feralfileassets.com/previews/9849f146-aef6-4614-9f8e-6bbf82fba520/1654120458/preview.gif,200,image/gif
wetware-tkl,9d72a792-cd60-40b6-a8aa-59bc41a9cacb,Social Capital Fights,,video,64,03744d42ff8b1262269f545d44aa8e07f391faeed6bfd73e8c7605fa1730d214,https://cdn.feralfileassets.com/previews/9d72a792-cd60-40b6-a8aa-59bc41a9cacb/1652956835/preview.mp4,200,video/mp4
wetware-tkl,bb118c17-1444-4c39-9587-64aa126d6f58,Cyberflesh Girlmonster-4 Recuperated Stills,,image,67,03a3678088306a251c5d378a11ac228cecd0d5bdd454ab24277c83077134ca7c,https://cdn.feralfileassets.com/previews/bb118c17-1444-4c39-9587-64aa126d6f58/1653352241/preview.jpg,200,image/jpeg
wetware-tkl,c4c506d9-a409-471a-bbf9-012bcfb1fa73,Putins a WASTEMAN,,video,69,05461afa633ca71ee7f5125038359013aefd81d0139aa05e74346c3094b0526d,https://cdn.feralfileassets.com/previews/c4c506d9-a409-471a-bbf9-012bcfb1fa73/1652955933/preview.mp4,200,video/mp4
wetware-tkl,f00cd40d-0fe5-4805-953f-9a52ff6da2ac,TimeTravellerTM Trailer,,video,69,082133e34c3e6dc814117a03c7e98141ccff3004a5724077db6abafa526d8811,https://cdn.feralfileassets.com/previews/f00cd40d-0fe5-4805-953f-9a52ff6da2ac/1653696268/preview.mp4,200,video/mp4
wetware-tkl,f5f51874-1c4c-42f8-9433-423fd791d6a8,"IKU: Expand, an interface",,video,57,001117393b10450330620779a1fe74f9ca356bb7d9d91e8ebe1e2d7d5550cc5e,https://cdn.feralfileassets.com/previews/f5f51874-1c4c-42f8-9433-423fd791d6a8/1653419879/preview.mp4,200,video/mp4
wetware-tkl,f8d24d67-7cd9-4465-9665-2c063ae4e073,A la recherche de l'information perdue,,image,67,0160419323a05446b34cc9a2eba6faa2c13395df383fd8b3a6a3e5f12c08c1ce,https://cdn.feralfileassets.com/previews/f8d24d67-7cd9-4465-9665-2c063ae4e073/1653679068/preview.png,200,image/png
