contract,token_name_contract,token_id,http,name,collection_name,collection_uuid,image,image_class,animation_url,animation_class,error
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000006,200,Reflection #6,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000005,200,Reflection #5,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000004,200,Reflection #4,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000003,200,Reflection #3,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000002,200,Reflection #2,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000001,200,Reflection #1,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,45000044,200,Hatch #44,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmNSk1xbDt1RMhSmgpXbP8fJgVRTfCXjG7jRuwoYVDRsmy,ipfs,https://ipfs.feralfile.com/ipfs/QmYWXHkg2tdcrQuEm7eZQheEJsQLMQQHJhTiX4rcCPsdkK,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,45000043,200,Hatch #43,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmNSk1xbDt1RMhSmgpXbP8fJgVRTfCXjG7jRuwoYVDRsmy,ipfs,https://ipfs.feralfile.com/ipfs/QmYWXHkg2tdcrQuEm7eZQheEJsQLMQQHJhTiX4rcCPsdkK,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,45000042,200,Hatch #42,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmNSk1xbDt1RMhSmgpXbP8fJgVRTfCXjG7jRuwoYVDRsmy,ipfs,https://ipfs.feralfile.com/ipfs/QmYWXHkg2tdcrQuEm7eZQheEJsQLMQQHJhTiX4rcCPsdkK,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,45000041,200,Hatch #41,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmNSk1xbDt1RMhSmgpXbP8fJgVRTfCXjG7jRuwoYVDRsmy,ipfs,https://ipfs.feralfile.com/ipfs/QmYWXHkg2tdcrQuEm7eZQheEJsQLMQQHJhTiX4rcCPsdkK,ipfs,
