id,vendor_release_id,vendor_release_slug,name,total_mints
1490,71f04e1c-f187-4bdf-97da-818dbed2383e,ojo-dont-slip-on-the-ba-nano-peal-xp0,Ojo! Don't Slip On the Ba-nano Peal,40
1491,5d3a552a-0881-4c58-b75c-300e698c00d0,les-mutants-1-wg2,"LES MUTANTS, #1",40
1492,2de34b1a-0653-47d3-a5af-73bf5348af4e,polymorphism-82-mfn,Polymorphism 82,40
1494,e671decd-1874-4ae5-9cff-fb2e9533b7b5,22-tbx,10 + 1 * 11,1
1497,00bdcc0b-72e8-4681-8311-c57319c50d4a,ix-shells-73t,What Time Works for You?,100
1498,d8319668-cf7b-42ac-bda2-208a78206a8a,20-sided-elf-5eg,20-Sided Elf,40
1500,bd22c88d-efd3-4f85-afce-85bf4606a0f8,artwork-4-rlq,LMG4.PCX,20
1503,a70250c6-cae5-40d9-8033-1cd043c69217,artwork-8-xib,LMPAT13.PCX,20
1504,0067a7f3-0b80-4e48-94c8-5722a1b18efd,artwork-10-5dx,LMSP6.PCX,20
1505,e7639e57-5f8b-42ac-bd03-5d4b33dccc96,polymorphism-14-0t5,Polymorphism 14,40
1506,3beda298-4994-472d-8aa9-a9df59e088bf,artwork-9-22r,LMPAT14.PCX,20
1507,cccecf88-6d8f-485f-9358-0def21bc4ad7,payphone-3vd,PAYPHONE,30
1508,5041f962-1cde-463a-a68b-8fc4b12acad0,sara-ludy-p66,Synchronicities,93
1509,4a747b91-c7a5-41ea-a4a3-4b958d95ab00,alfredo-salazar-caro-cgi,Silva Ex Machina,93
1510,3d4fe94b-a952-40f3-a939-2a1b23e4cd10,rayatrontoa-wql,RAYATRONTOA,1
1511,b0f9fb20-54d4-40b5-9276-c4d1f46f1c52,artemis-genetically-modified-god-xwk,Genetically Modified Gods: Artemis,40
1513,fa39c708-0ca3-4854-bd68-076aaf0f1770,generic-mannequin-gets-flayed-dg5,Generic Mannequin Gets Flayed,40
1517,a2a321a6-2bef-46a5-8f84-d33a776d2d09,artwork-5-vlu,LMGU16.PCX,20
1518,5b8fdb66-f0be-4008-8659-44b56fb32bf2,post-pangea-do3,Post-Pangea,40
1520,11e1b004-12c4-4823-8d06-721100f23664,artwork-12-wf9,LMSP9.PCX,20
1522,65619900-13dd-48a0-840f-e5652e2a0975,connie-bakshi-dkq,Gray,50
1525,24dca93b-756c-417e-80bf-932e5d11336b,designer-baby-yfb,Designer Baby,40
1528,7002170e-b4e3-4acc-b9c3-5a269d10c2bf,artwork-11-8pp,LMSP7.PCX,20
1531,dbdcb707-a80c-4160-8c03-fc261d6f8b78,artwork-6-hef,LMGU18.PCX,20
1532,f700c646-b1bb-42c0-9882-9c4a781e4c7d,artwork-2-as2,LM9-3.PCX,20
