contract,token_name_contract,token_id,name,collection_name,image,image_class,animation_url,animation_class,metadata_fetched,token_uri_hint
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016213,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #30",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016212,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #29",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016211,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #28",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016210,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #27",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016209,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #26",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016208,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #25",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016207,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #24",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016206,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #23",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016205,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #22",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016204,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #21",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
