category,opensea_slug,contract,contract_mentions,other_addrs,http
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-96247000,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,machine-hallucinations-coral-artificial-reef-by-re,0x7acc33c09beec2c2636ec7d161e59b0582d78854,489,0xa42e1debeba42786a4d2b8226927291462271e96:102;0x4200000000000000000000000000000000000006:27;0x552076b9202570cbb461cb2aa232efc12b2b160a:15,200
3_bound_to_uuid_not_in_your_mapping,machine-hallucinations-coral-dreams-by-refik-anado,0x4200000000000000000000000000000000000006,27,0xd99b40c0a6d12463877839e88d7bf43c779ffe2f:13;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
3_bound_to_uuid_not_in_your_mapping,machine-hallucinations-coral-generative-ai-data-pa,0x4ce2b581d96d264294d79d7c25f86b18d3a24d4a,489,0xa42e1debeba42786a4d2b8226927291462271e96:100;0x4200000000000000000000000000000000000006:27;0x552076b9202570cbb461cb2aa232efc12b2b160a:13,200
3_bound_to_uuid_not_in_your_mapping,neural-zoo,0x4200000000000000000000000000000000000006,27,0xe4a36a09ee456aba9de430f0488a782c04f5139d:14;0x10049dcae04c3f4b4afd9bebd96dba8adbaec170:13;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
3_bound_to_uuid_not_in_your_mapping,self-contained,0x6b7f2e36f2c4044d8a87b66beac7aff59460030c,66,0x4200000000000000000000000000000000000006:27;0x7f7096bf1ff2f0590be2db714b15474671c3043c:10;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
3_bound_to_uuid_not_in_your_mapping,take-over-madrid,0x5cf20fb8a4451f24b2c915f8929b8aff999f1044,92,0x4200000000000000000000000000000000000006:27;0x7f7096bf1ff2f0590be2db714b15474671c3043c:14;0x62b74395eac8ade7dfa9bd0849386899bf1b9595:14,200
3_bound_to_uuid_not_in_your_mapping,take-over-miami,0xbcb540b58e4e2b0e41e68b26b9dceab4e3b4c993,339,0x7f7096bf1ff2f0590be2db714b15474671c3043c:51;0x4200000000000000000000000000000000000006:27;0x62b74395eac8ade7dfa9bd0849386899bf1b9595:12,200
3_bound_to_uuid_not_in_your_mapping,temporally-uncaptured-1,0x4200000000000000000000000000000000000006,27,0xa61459a983ee69e25082a2f8d934e89e04d8f158:13;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
3_bound_to_uuid_not_in_your_mapping,the-smell-of-pink-by-andres-reisinger,0x98beb1dc755571fd24408170b0cc26ac98137ecc,156,0x4200000000000000000000000000000000000006:27;0x2f4acb48bb2aa86d7b25e9181fa83b68b4cb8368:14;0x82d12d3d77d32fef87fb3b7de3c93fe3bb0a0a6e:10,200
