dir_or_file,s3_prefix,cid,n_files,bytes,gw_ff,gw_public,verified
https://cdn.feralfileassets.com/previews/f5d3ffb6-99fb-4c50-ac82-d9db3cfd3963/1666639970/,previews/f5d3ffb6-99fb-4c50-ac82-d9db3cfd3963/1666639970/,QmZtmZ5Ftqj1hD1pCWhtM2xZeg5VWXw6V4QkDkGQtiiQMo,6,858418,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/03292b3d-769f-4235-a8ad-a3517e24f351/1668903882,thumbnails/03292b3d-769f-4235-a8ad-a3517e24f351/1668903882,QmVhHnMzHQSh9gXKCHciTgeKWW4sD77ze8PDWgkm7AyYWs,1,371446,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/03292b3d-769f-4235-a8ad-a3517e24f351/1668713860/,previews/03292b3d-769f-4235-a8ad-a3517e24f351/1668713860/,QmYKzNdfyHZEbp3s6tqbmhe4K6gzFGijMLKokUDEppH3av,1,72147779,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/4d3d60e8-0f7b-4578-b5a7-efae617c3ce2/1664939721,thumbnails/4d3d60e8-0f7b-4578-b5a7-efae617c3ce2/1664939721,QmdwMM2RKgncwTUfbcEnwMicE3jLzHH7Uovd3zy2ZoFCKV,1,501920,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/5c46d607-e11d-477d-b38d-a9f5f2b7f6d9/1663400795,thumbnails/5c46d607-e11d-477d-b38d-a9f5f2b7f6d9/1663400795,QmVCR4Q4MAwiMVQM7uoHKtjPdqkgHwJPeC8fZqictXRQPg,1,100170,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/5c46d607-e11d-477d-b38d-a9f5f2b7f6d9/1663401360/,previews/5c46d607-e11d-477d-b38d-a9f5f2b7f6d9/1663401360/,QmfYaiRF2feHoVgpagfb3jJ7QWENLVkpnBbDfseD3PHert,7,15325582,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/51de9ede-43ee-43a8-8af5-3771d73eacc7/1668903858,thumbnails/51de9ede-43ee-43a8-8af5-3771d73eacc7/1668903858,QmW61Tv6va3MdK18gvneEDvsq2tE4tvtBSw1koTXXPU7vK,1,470770,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/51de9ede-43ee-43a8-8af5-3771d73eacc7/1668713628/,previews/51de9ede-43ee-43a8-8af5-3771d73eacc7/1668713628/,QmZZMkcfa8KJygS3MVP9K5NVkk7zyjaKcKynb1nNuhWwkz,1,61402316,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/b8e62a5d-cbe8-46c6-8d5c-fd66e06a0984/1668903788,thumbnails/b8e62a5d-cbe8-46c6-8d5c-fd66e06a0984/1668903788,QmeU5KrJBDNneQpwBEChxTthLgXsRkMxFvJd1BftatZefi,1,366169,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/b8e62a5d-cbe8-46c6-8d5c-fd66e06a0984/1668713694/,previews/b8e62a5d-cbe8-46c6-8d5c-fd66e06a0984/1668713694/,Qmaz82mse9sHsRbe3gJV3iq96FdMVX5jZvCp9QxxWBK3bX,1,63109073,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668903870,thumbnails/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668903870,QmXZ7RcQ9R5WmEHcxYajxmrtce9ug3dTHjxUG2HBoAiBX4,1,491382,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668713764/,previews/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668713764/,QmTxyLzNnazhMHPg8sVopEXjqQVYVGA2zj5ddDN1YNzgBD,1,62193963,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/e03b37b6-2d2d-41d1-ac24-673e08600ac8/1667836183,thumbnails/e03b37b6-2d2d-41d1-ac24-673e08600ac8/1667836183,QmQBftKyynNdw96UfX2hx2PAxNUEKcAQLu9N1JPUeQQThy,1,480674,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/e03b37b6-2d2d-41d1-ac24-673e08600ac8/1667836783/,previews/e03b37b6-2d2d-41d1-ac24-673e08600ac8/1667836783/,Qmb4cUoEYHSXtpovdSautGMNDyRjdekGRdUPCjKo8hq2we,1,9127048,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/8323eb9a-b406-4fbc-8550-fcd12213440a/1666618556,thumbnails/8323eb9a-b406-4fbc-8550-fcd12213440a/1666618556,QmeCojDp4o8uJaJM52QWMHbRoC2XsMg3VnqqqSnrfTFdQm,1,80411,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/8323eb9a-b406-4fbc-8550-fcd12213440a/1667584931/,previews/8323eb9a-b406-4fbc-8550-fcd12213440a/1667584931/,QmasDgS8xkQjCmXLgKNL93CYKjvnzccNTCaQDEKEQtA2F8,53,83220551,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/32f1b099-448d-4e6d-8358-70a64e005903/1666619126,thumbnails/32f1b099-448d-4e6d-8358-70a64e005903/1666619126,QmZ1zYqw2G8n7pMeGg5rCf572z7ErRHY4zWaP1oHMBdCAm,1,440189,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/32f1b099-448d-4e6d-8358-70a64e005903/1667585109/,previews/32f1b099-448d-4e6d-8358-70a64e005903/1667585109/,QmSfE1xVTFzSk7EkRthuYueNvCck79QdW6pmc5jJE4uuai,53,104987893,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/d90151ff-0159-4973-a7a6-724b04c01547/1666620306,thumbnails/d90151ff-0159-4973-a7a6-724b04c01547/1666620306,QmYPSPjQ5PKvFhiquJtU8xtzhxhxPPmqYxERkURghk1YPA,1,150362,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/d90151ff-0159-4973-a7a6-724b04c01547/1667585771/,previews/d90151ff-0159-4973-a7a6-724b04c01547/1667585771/,QmXq9N99DuAEXmpWHMGsgoBHRNikewgntxBXNHodqxVixf,53,147791865,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/949ddc52-1007-4f79-a355-e287a7b55fc6/1670988648/,previews/949ddc52-1007-4f79-a355-e287a7b55fc6/1670988648/,QmP24Mw2HYCxaTcndsZEcqPRvXs9f22pSHBBSwLeCX51kv,3017,64241607,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/8d857653-9b06-4789-bf98-b5646b0c3f47/1670990379/,previews/8d857653-9b06-4789-bf98-b5646b0c3f47/1670990379/,QmPTGwjVy5UJt97gUjhDPgkvZcyga3vKH21SUGsvBGUwyN,3017,71565180,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/d9002d0a-d209-43da-b71b-f4a9c0024af5/1670989718/,previews/d9002d0a-d209-43da-b71b-f4a9c0024af5/1670989718/,QmS2GsE9GFSU8nCivxVSwsUv2MZLV4XeB4fm8B6qDgpBh9,3017,64372268,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/9de55d58-68f1-455a-9a41-4296ecc56cad/1670989027/,previews/9de55d58-68f1-455a-9a41-4296ecc56cad/1670989027/,QmPrBMBx2gsMVVpLf52Dia86XicZ99ygVjv3haFnNhLhBc,3017,57185590,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/47f31603-9721-403b-94b5-d24ab9fb8256/1672939099,thumbnails/47f31603-9721-403b-94b5-d24ab9fb8256/1672939099,QmQKAScYWbmPXDvzP3zFDZiSZCFBAhHYtKKRccoRYFg8SF,1,319245,ok,public_pending,yes
