edition,token_id,old_metadata_cid,new_metadata_cid
84,58987192466841004628201111767945836073083865759174394385352028392528079468171,QmfKXPdSee4d1TQyYJRmm6y33DTKJoYXpkuHjTyYc4Gqan,QmUWEbUPid6FqcB5mx1GuDRca4i5dEgdVgQbDCDW98eJFa
85,58987192466841004628201111767945836073083865759174394385352028392528079468172,QmXkkfjggnf4LcieNXQHUp28hLn5r9HzY5XreEd9QmDGbw,QmYubKVKt4C5AVrZaUob5WcYGApwoxif398RiofEtiZpBD
86,58987192466841004628201111767945836073083865759174394385352028392528079468173,QmZfZGYwPEhTcmCeX2pjuT19oCLqkRvQKSL5riSnZPLg29,Qmdu75gvksXPcQc4wTD9Z1FuYfLBpwUwoxhJDAUo55H7TM
87,58987192466841004628201111767945836073083865759174394385352028392528079468174,QmUiZWZZTAXYrJKX1qFvXYfogFteT5VbHNhYan3ywN7Z6w,QmXmEbu6ptB8PPduYSjM1qHPsrJBez98HTMXvgzgvdE7WS
88,58987192466841004628201111767945836073083865759174394385352028392528079468175,QmXk6jfxv3zh3gk14fZRABSLaZaPtxTwL5LR5oxE9zwRNV,QmXzYhE3GC5vGu6PsGX1bhnFHq8uesXKfd7rgGHxZkLGTB
89,58987192466841004628201111767945836073083865759174394385352028392528079468176,QmSxaWcUkD69S6mbPeSrfgH8CdafyKAjpPCRV9JnBAfA47,QmfUmbnc8naCFZJAEERGmC31DnqeST7J2PnGXQfnyefsGh
90,58987192466841004628201111767945836073083865759174394385352028392528079468177,QmVVQQ3hv7Qj9ygssEhyjWCkfj9jwUN2BsNJLVEt8kBRBG,QmTkKY939Q5RaMwF3YQgfyWRVdmqQXAbTpjzkPqLmnj5Po
91,58987192466841004628201111767945836073083865759174394385352028392528079468178,QmXBbjryWXcDwR2A5xkW5s1qPcKVSxtDBRULfZzJUs3Ddm,Qmatxj9Qk1TJsfeg2cRsmPe94oyGqnjENVmse67QWxpjiK
0,61029430091907876109464895555898745746405742165657134445147979806674543220489,QmZ5Erqf9X8uMX3ydug4MskfoaAb7vmvHcGFqwun3HcPfE,QmUwjHUmKyiejb15k9eT5PvTwaNf5QSVWxwTYXMcFPv9Q4
1,61029430091907876109464895555898745746405742165657134445147979806674543220490,QmTYKNpbSkCb1u8xUzodYopoKoVyFpnK2Gw9YD1ej9HT8T,QmS7Ku6HURqeeJvxkS5j83oxyz9XwpJ6MTZ8RvnFzH6wcB
2,61029430091907876109464895555898745746405742165657134445147979806674543220491,QmUsj2zxVVYYTmFSNjxz1CfRj9G2bb2Kzg7ixYaDv6REN2,QmYDabZccrRghLWsD76bJFRe1eeL6S5mCTM8yPt7pE1ZSM
